textid citation_id culture_id paragraph
t0295 cite0005 MP05 "The basic concepts and practices of Amhara medicine can be traced to ancient Egypt and the ancient Near East and can also be attributed to regional ecological links within Ethiopia. Often no sharp distinctions are made between bodily and spiritual ailments, but there are special occupations: the WOGGESHA (surgeon-herbalist) is a pragmatist; the DEBTERA (scribe) invokes the spirit world. The latter is officially or unofficially linked to the church, but the ZAR cult is apart and may even be female dominated. Its spirit healing has a complex cosmology; it involves the social status of the patient and includes group therapy. The chief ZAR doctor is often a matriarch who entered the profession when she herself was possessed by a spirit; she has managed to control some powerful spirits that she can then employ in her battles to overcome the spirits that possess her patients. No cure is expected, only control through negotiation and appeasement of the offended spirit, in the hope of turning it into a WEQABI (protective spirit). By contrast, possession by an evil spirit is considered more serious and less manageable than possession by a ZAR, and there is no cult. An effort is made to prevent it by wearing amulets and avoiding persons, who are skilled in trades like blacksmithing and pottery making. Since these spirits are believed to strike beautiful or successful persons, such individuals--especially if they are children--must not be praised out loud. If a person sickens and wastes away, an exorcism by the church may be attempted, or a TANQWAY (diviner- sorcerer) may be consulted; however, the latter recourse is considered risky and shameful."
t0296 cite0006 MP05 "Like the debtera, the wegesha is often an expert herbologist, called akk’abe s[unknown]ray (lit. who knows or keeps the work of nature). While walking in the bush, along brooks in the valley or in the dega upland, he notices and remembers the locations of plants and roots, which supply him with much of his pharmacopeia. His sense of direction is trained, and therefore seems uncanny to the layman. Moreover, not infrequently he actually transplants certain wild plants, so that he can always find them; these are located sufficiently far from residential habitations so that they are not easily found or consumed by cattle or disturbed by playful boys. A good rule for distance is how far the crowing of a rooster can be heard: some plants are believed to lose their magical power if disturbed by this sound."
t0297 cite0007 MP05 "The prophylactic measures [of an evil eye attack] include invoking God’s name every time a compliment is given, shaving of children’s heads, guardedness and social distance, cross-sex address, and the wearing of magical medicines and charms. The best curative after a strike has been made is to find the buda responsible and force him to confess and withdraw the curse (usually at gunpoint). A competent wizard may also be able to manufacture a counteractive medicine that will affect a curse."
t0298 cite0008 MP05 "The co-operation of spirits can be obtained (1) mechanically, through spells, prayers, rites (C.1, C.2), and sanctified healing waters ( tebel, C.1); or (2) personally and directly, when a debtera forces a demon into his presence and compels his assistance, or when a shaman allows a zar spirit to possess her."
t0298 cite0008 MP05 "The nature of the connection between spirits and numerological instructions, special objects, and astrological-numerological reckonings (B.2,3,4: a [Page 247] combination especially used in preparing medicaments) is not understood by lay folk."
t0298 cite0008 MP05 "E. Knowledge of magic is always privileged. The ability to tap the power of spirits may be general (prayer to the spirits of the church) or privileged. Knowledge of magic and privileged access to spirits is distributed among four categories of people: herbalists, ecclesiastics, shamans, and debtera . Most herbalists incorporate some magic (B.1,2,3, but never B.4) into their recipes. The rural herbalist is usually a farmer, indistinguishable from his fellows except for his curing. He is known to his public by his ability to treat a specific, named ailment, and his professional title indicates only his disease name specialty and his degree of proficiency, e.g., “expert curer for body ulcers.” Few herbalists offer therapies for more than three or four ailments. Magical directions are specific for each cure and are inherited with it. Any ecclesiastic can annoint sick people with sanctified healing waters. A shaman persuades zar familiars to provide information and influence other sickness-causing zars. Debtera who have special powers can be either “demon-pullers” ( ganel sabiy ), whose powers come from demon familiars and magic (B.1-4), or minor debtera ( tinish debtera ), whose powers come from magic only."
t0298 cite0008 MP05 "F. The kinds of people who hold these special powers are distinguished from one another according to the range and availability of their powers and the moral opprobrium attached to their practices and themselves. The annointer, the herbalist, and the zar shaman each aim for a single goal: to repel (A.2), retain (A.8), and divine (A.1), respectively. The shaman can also end sickness (A.3) for devotees of the zar cult. The debtera (particularly the demon-puller) works all ten goals (A.1-10) for any client. An important expression of the debtera ’s power is his ability to perform many different kinds of medical works—to predict, prevent, cure, and cause—for a great variety of ailments, particularly serious ones for which herbalist cures are rare and herbalist prophylaxes are absent altogether, and contingencies. According to ordinary Amhara, i.e., people who are neither ecclesiastics nor members of the zar cult, no opprobrium attaches to the works of the herbalist or the annointer, whose works are authorized by the church, and the works of the zar shaman are believed to be morally different rather than immoral. On the other hand, opprobrium does attach to the debtera because he is intimate with demons, some of his works are evil ( kifat ) and destructive (A.4), and he has committed serious sins ( badal ) against the church, aside from sorcery and intimacy with demons. ..."
t0298 cite0008 MP05 "Laymen are more certain of the moral facts that explain the debtera ’s path to power than they are about the technological ones. The moral facts are set out in the following archetypal biography by which laymen describe the professional lives of debtera magician-healers. As they see it, the debtera begins his career as an ordinary farmer-priest, who performs in the mass in his natal parish. He is no different from his fellow priests, except for a weakness in his character which makes him unable to keep within the proscriptions of the priestly life. Eventually, it leads him to commit a serious moral offense ( badal ), after which he can no longer perform the mass. Most often, it is adultery that spoils the priest’s identity. The theft of church tithes is another frequently mentioned act. Once discovered, he finds it impossible to continue his life in the parish. He is filled with shame; he is scorned by kinfolk and neighbors; and he loses his usufruct to church lands. But how is such a man to support himself once he has left the parish? Since his only resources now are his ability to read and write Amharic and Ge’ez (the language of the church) and his knowledge of the liturgy, he takes up a solitary wandering life as a debtera . His flawed nature gives him no peace, however, and he progresses from sin to sin until at last he seals his perdition by seeking the help of demons. At this point, he begins his career as a great magician, sorcerer, and healer. While no layman knows precisely how a debtera makes his contract with demons, it seems certain that the bond is sealed by an act of sacrilege and rebellion in which the debtera betrays the teachings of the church. ... In the case of debtera, it seems that the Almighty is usually unwilling to postpone retribution until the afterlife, and errant debtera are likely victims for a variety of stigmatizing afflictions. Some are shrunken into achondroplasia, others are turned into humpbacks, some become blind, and others suffer withering of arms and legs. Most often, it is through the agency of the debtera ’s own familiars that the Almighty chooses to punish him."
t0299 cite0009 MP05 "Although most Amhara can identify the grosser body organs by name, even the knowledgeable anatomist can assign functions to only a few of these."
t0300 cite0006 MP05 "In his role as magician, the t’enqway is called k’wama (from k’om[unknown] , he stood up), since he tries to identify the personality of the evil spirit from his abode; e.g. in the water of a brook, or a waterhole in the river, or under a certain tree, etc. The magician is also considered an expert on fire and lightning. When a person is struck by lightning, m[unknown]br[unknown]k’ , the priests consider it heavenly punishment, and in the past even refused to bury the victim in the churchyard; thus the t’enqway is called in. His treatment consists of moving the victim quickly to the fireplace - he regards fire and warm ashes as the counteracting principle. If a house is on fire in town, it is still believed that the magician, standing on the roof of a neighboring house with a mirror, can prevent the spreading of the fire by causing the flames to recoil."
t0301 cite0009 MP05 "A woman who excludes zar s from her disease etiologies assumes great vulnerabilities. Without zar familiars, she must build etiologies from the mortal intentions of sorcerers, poisoners, and ganel s. Against these agents, a woman can generally afford to raise only weak prophylactic defenses, and the cost of expert therapy (by an awakiy debtera ) is usually beyond her slender means. Unmarried townswomen are particularly vulnerable in this regard, since they are without interested mates to purchase necessary debtera therapy or to insist on etiologies consistent with the teachings of the Church."
t0302 cite0004 MP05 "But for serious trouble—when someone has been afflicted by a zar or infected by a buda —the folk wisdom does not suffice, and a specialist is sought. The tanquay, or “sorcerer,” is consulted for exorcising demons as well as for physical ailments. In treating a zar patient his task is to discern, by clever interrogation, what manner of zar is riding the patient and then to determine what sort of gift is required to propitiate this zar . For a patient who has been “eaten” by the evil eye, he may succeed in summoning the guilty buda —identified when the patient calls out his name during a trance—and inducing him to spit on his victim; or he may resort to such techniques as transferring the demon from the victim to the body of a chicken and then killing the chicken. The [unknown]tanquay has other supernatural powers. He can summon the devil to liquidate the enemy of a client. He can interpret dreams and predict the future. For this he boils coffee, burns incense, and, sitting on a white sheepskin with freshly cut grass spread about the room, speaks out whatever comes to him."
t0303 cite0004 MP05 "Counter to this conservative drag, on the other hand, is the peasant’s powerful desire for one basic change in his life circumstances, namely, the reduction of morbidity and mortality. Despite his idyllic conception of paradise and his frequent contention that life on earth is something of little value, the Amhara wants to avoid death. Even from the religious point of view he is [Page 90] motivated to live as long as possible: the monk wants to live longer in order to get closer to God by prayer, and the worldly man wants to live long enough to atone for his sins so that he may enter paradise. Health thus rates as one of the most important values. The expressions for greeting and farewell stress health. Most of the prayers and vows offered have to do with achieving health. Long, painful pilgrimages are made for cures, and much money is spent for the remedies of native practitioners and for amulets to ward off illness. This powerful desire for health and life operates as a lever to overcome the resistance to change."
t0303 cite0004 MP05 "Toward the bearers of new ideas designed to satisfy this desire for reduced morbidity and mortality, however, the peasant’s stance is suspicious and unsympathetic at the outset. He regards Ethiopians who have been educated by Westerners as contaminated by alien norms and beliefs. They appear to him as Ethiopians, but also as strangers—as “black faranj ”—with their European clothes and their unorthodox eating and smoking habits. He tends to distrust their motives, to suspect them of being out to take advantage of him in some way. And he resents their overt or implicit disparagement of his way of life, particularly his practices in so sensitive an area as sanitation."
t0303 cite0004 MP05 "Against such obstacles one cultural factor that serves to present the health worker as an acceptable agent of change is the Amhara peasant’s deference to the man of learning. The public health worker is in a position to inherit some of the awe felt for the learned dabtara, especially since the health teams operate out of centers which provide therapy as well as instruction, which gives them the benefit of association with the quasi-magical powers attributed to one who performs successful treatment. In addition, he can be aided by the Amhara peasant’s personal devotion to someone who has helped him and won his confidence. Whether this devotion can be stimulated depends, in the last analysis, on the character and resourcefulness of the public health workers themselves. Those who are able to communicate in a dignified manner with the peasants, who avoid dealing with them as an inferior and backward people, who refrain from flaunting the most important local norms, and who are on good terms with local authorities and respected men, have a substantial chance of being accepted after an initial period of suspicion and alienation. Thus it was that a Gojjami peasant, asked why some of the local people were hearkening to the advice of the public health team at Dabra Marqos, explained: “We have come to realize that what you tell us to do is for our own advantage, not yours.” Elsewhere in Gojjam, a similar response was the eventual issue of a more pronounced initial rejection of public health workers. In the village of Dajan doors were closed against a venereal disease team which was taking blood samples of the entire population for Kahn test analysis. Popular suspicion was voiced in a number of ways; the health workers were accused of selling blood, of being missionaries, and of otherwise trying [Page 91] to cheat the locals. The health officer in charge of the team then brought some of the objectors to the mobile laboratory, patiently explained what was going on, and how it would benefit the people. Before long word got around that these outsiders were not so evil after all, and the doors of Dajan opened."
t0304 cite0006 MP05 "Many ailments are regarded by the Amhara as closely interwoven in the body and spirit of the patient, and in fact, frequently no sharp distinction is made between bodily and spiritual ailments, so that the same illness may sometimes be treated by the surgeon-herbologist ( w[unknown]ge[unknown]sa ), and if not successfully cured, by the practitioner of exorcising magic, the debtera scribe, or the practitioner of sympathetic magic of the zar cult, or even the sorcerer, the t’[unknown]nk’way . Only the latter is considered illegal. However, a fairly clear distinction is made between organic ailments and functional ailments, and on the basis of whichever preliminary diagnosis is made, it is decided which practitioner to call in first."
t0304 cite0006 MP05 "The association of the debtera with the church has increased his activities in recent years from that of amulet-writer and herbologist to many of the functions of outright magic, particularly since the tenqway has become illegal. The debtera always seems to have enjoyed the highest respectability and trust of any of the practitioners, since (as in ancient Greece), his activity in the official religion is believed to extend over the ills of the body and over the world of the spirits. There is no philosophical basis for the development of medical systems among the Amhara, thus no reasoned system. Their medical concepts are pre-Galen, at most Aristotelian. The debtera have, or in some cases claim to have, books handed down from past centuries, containing secret formulae, recipes, pharmacopeia of an intermingled empirical and magical nature. They warn inquirers that the public revelation of these secrets would create great social dangers at the hands of the irresponsible."
t0305 cite0006 MP05 "Violent forms of possession may manifest themselves by aggression directed against the patient himself, such as beating himself, hitting the head against the wall, eating [Page 304] dirt, trying to climb the wall, wanting to run out at night to roam with hyenas. In some cases, if accompanied by nosebleed, or “weeping blood”, this is diagnosed as buda and becomes a case for the debtera practitioner. In cases of running amok, with aggression directed against others, it may be diagnosed as ganen (jinn) and be treated either by the debtera, zar doctor, or t’enqway sorcerer."
t0306 cite0009 MP05 "Amhara healer and layman use common sets of physiological and pathological notions; neither physiology nor pathology is conceived as a coherent body of knowledge in its own right, however. The Amhara does not often verbalize these notions, and, when he does, it is in ad hoc contexts, generally intrinsic to the selection of prophylaxis or the administration of therapy. Thus, set down on the following pages as discrete subjects, Amhara physiology and pathology appear as collections of relatively simple notions, and of limited explanatory power when compared with the medical systems of other historical civilizations. Unlike those systems, the organization of Amhara medical beliefs and practices is dominated by concepts of practitioner power, its sources and its therapeutic and prophylactic expressions."
t0307 cite0009 MP05 "Such differences of opinion [about magical vs. natural etiology, which can look identical regardless of pathogenic agent and whether or not it was done intentionally by an agent] are generally of little consequence, for they have neither real therapeutic significance nor importance in non-medical contexts. Practitioners are chosen on their record of success (as well as their availability and cost), rather than according to any ‘theoretical’ criteria. Thus a scabies sufferer may obtain the services of a yimic medhaniyt korac (lit., “medicament outter for gerifta”) even though he believes, in the abstract at least, that the ailment is produced by likift . Most herbalist-names signify only the ailment which the therapist treats (e.g., the yianfula medhaniyt korac , treats anfula ), and the client may not know the specific etiological details to which the practitioner subscribes. There is, however, an exception to the one etiology-one disease name identification: Almost any ailment can be explained as the result of ganel or zar attentions (etiology of type E), particularly if it is serious, chronic, unyielding to treatment, or exhibits aberrant symptoms. Some ailments (e.g., apoplexy) are explained only by reference to this type of etiology."
t0308 cite0009 MP05 "Where the introjected pathogen is the self-conscious agent found in etiology C (i.e., the buda ), the strategy remains essentially the same. However, the practitioner must, in dialogue with the disease agent, convince the buda to quit the sickman. To this end, the practitioner uses a fumitory offensive to the introjected agent. Ailments of type D etiology (i.e., mers , poison) impose a special requirement on the therapist. There are numerous toxic formulae, and, although all produce similar symptomatic [Page 26] effects, each is believed to be complemented by a unique antidote. Cure therefore demands that the poison be identified in order for the antidote to be obtained."
t0309 cite0009 MP05 "The dental wogey[unknown]sa is known as a “ yiters medhaniyt awlakiy ”. As with other wogey[unknown]sa -treated ailments, toothache can be traced to multiple causes, whose identification is only marginally important to the practitioner. Toothache is caused either by sun-borne gerifta or by an intrusive worm whose presence is made apparent by the caries it bores out. The ultimate and most successful therapy of the yiters medhaniyt awlakiy is extraction, with the use of European dental pliers. Because of the pain associated with this operation, laymen often [Page 40] use local applications of commonly known palliatives, until subsequent discomfort obliges them to consult a tooth extractor. 3"
t0309 cite0009 MP05 "In the abstract, these palliatives (distilled spirits known as arakiy and ginger root) are only effective against the intrusive worm, but in reality they are used even when evidence of the worm agent ( til ), i.e., caries, are not apparent."
t0309 cite0009 MP05 "In addition to simple toothache ( yiters himem ), gerifta may result in rheumatoid pain ( kurtimat ) in the cheek teeth and adjacent jaw, accompanied by swollen, itching gums. Although herbal poultices are available for this syndroms, only tooth extraction promises permanent relief. The yiters medhaniyt awlakiy also treats the newly irrupted teeth of year-old infants. The upper lateral incisors are believed to often cause infants severe pain, resulting in incessant crying, diarrhea and failure to suckle properly. To remedy this dangerous situation, the practitioner removes the offending teeth using an awl-like implement. In each of these dental operations, kusil is considered no real danger, and prophylaxis is not given."
t0310 cite0009 MP05 "The cupper is unique among lay practitioners in several respects. First, he occasionally works under the direction of another category of practitioner, the tagan ( wogey[unknown]sa ). Second, there are special physical requirements; the agamiy must have all of his incisors, and the upper and lower teeth must meet in an unbroken plane. Third, the agamiy exposes himself to certain dangers in the performance of this therapy. Because he must remove a pathogenic substance through the medium of the sickman’s blood, there is the danger that, should any of the blood enter his own mouth, the agamiy may himself fall ill with the ailment he is treating. In addition, contact with this blood threatens those chronic ailments from which the sickman suffers (such as the rheumatoid pains associated with kitin , syphilis)."
t0311 cite0009 MP05 "The type of practitioner that a client consults influences the final etiology with which his disease episode is finally rationalized. In the context of category three ailments, the awakiy debtera is a morally correct choice for the male client, since his therapy is capable of translating the disease episode into a confirmation of the client’s normative social state. Failing more innocuous indications (generally involving ganel s), the debtera ’s diagnosis and cure are expected to support an etiology of sorcery or poisoning. This marks the sick-man as someone’s talat ; a man someone wishes to kill or maim in retribution or fear; a man who has incurred a talat ’s interest by demonstrating aggressive and proud (i.e., masculine) behavior, by committing assault and murder, by usurping land rights, or by contesting sexual access to women."
t0312 cite0010 FK07 "Shortly afterwards, the king caught a very painful disease which made his legs swell. This was the cause of the disease: One day while he was at his capital of Nyanjeradde, Kinyolo told him of a lame but very expert doctor. “If I fetch him,” claimed Kinyolo, “he will cast such a powerful spell against Kakungulu, that he will never invade Buganda again.” When he heard this, Semakookiro sent Kinyolo to Buzongola to fetch the doctor. “The king wants you,” Kinyolo told the man on his arrival at Buzongola. The doctor accepted the invitation, but he also proposed that before he could go to Buganda with Kinyolo, they would first of all make a blood brotherhood. 10"
t0312 cite0010 FK07 "So as to protect himself against betrayal."
t0312 cite0010 FK07 "As soon as it was made they left for Buganda and on their arrival, the doctor gave the king a fetish and declared: “Kakungulu will never invade Buganda again because I have cast a spell against him.” After giving this fetish to the king, Kigulu the doctor asked for leave to return to his own country. But before he left, the king told Kinyolo: “You must drown him in the lake, lest Kakungulu hears of him and consults him also.” At first Kinyolo refused to kill his “blood brother”, but the king threatened him that, should he refuse, he must never return to Buganda. Because of these threats, Kinyolo agreed to drown the doctor and when they reached the river Kagera, he was thrown in and got drowned."
t0313 cite0011 FK07 "When a man fell sick, his wife immediately consulted the nearest medicine-man, who came, and by consulting the oracle was able to tell what was the cause of the sickness, and also to prescribe for the patient. If he was suffering from headache only, the usual remedy was to bleed him, in order to relieve him of the alien matter introduced into his head by means of magic, or by some ghost. When the cup was removed, the blood was poured into a leaf, and examined by the medicine-man, who invariably found something which had been drawn out in the cupping-process to account for the headache. The method of cupping was to apply one, and sometimes two cups, as the case demanded: these were short ends of horns, generally the tips of cows’ horns about three inches long; at the tip a small hole was made, to create a vacuum. The medicine-man shaved the hair from the side of the head, if he meant to cup the head; washed the place with [Page 100] water; took a sharp knife and made a number of scratches or slight incisions; again wetted the place over the scratches, applied the cup to the head, and sucked out the air, having in his mouth a little plug of leaf or grass, which he put into the hole, while still sucking out the air. For headache he usually cupped in two places, one on either side of the head. Cupping was practised for headache, for coughs (when they cupped the lungs on the back), for deep seated abscesses in the arms and legs, and sometimes for pleurisy in the side. The horns were left on the patient, until the medicine-man thought that he had drawn enough blood. In other kinds of illness the medicine-man who threw the pieces of leather was consulted, and prescribed for the patient. ... The remedies applied were often herbs which skilled medicine-men had found useful, for though a medicine-man worked magic, yet he also administered drugs, and did his utmost to relieve the sick person, and to retain his own reputation as a doctor. In some kinds of illness it was thought advisable to apply a small burning iron, made of three pieces of iron about a quarter of an inch thick and four inches long, which were welded together at one end, and pointed to a spike fitting into a wooden handle, so that it could be put into the fire, and made quite hot, and applied to the place where the pain was. Three blisters were usually made, which were supposed to give relief, and above all to drive out the cause of the pain. For fever the medicine-men administered herbs, which had to be drunk from one of the fetiches; this was said to increase their potency. Phthisis was always said to be caused by the ghost of some ancestor who had died of the complaint, and unless the ghost could be propitiated, it would kill the patient. The expectorations from such a person were greatly dreaded as being a channel for the [Page 101] ghost’s malign influence over any one who came into contact therewith."
t0314 cite0011 FK07 "When a man’s wife, or one of his children, was ill, he would sometimes take the fetich Nambaga outside his hut by night, and, holding it in one hand, would smoke upon it furiously, until the fetich possessed him, and gave him information as to the cause of the illness, and the treatment which he ought to adopt. Only the most skilled medicine-man could make fetiches; herbs had to be carefully selected, and other materials were needed, such as the hearts of lions, leopards, crocodiles, elephants, buffaloes, and other animals, which (it was supposed) would make the owner brave and strong. These materials were pounded together and stuffed into the horns, or they were mixed with clay, made into fetiches, and dedicated by the medicine-man to different gods. They thus became identified with a supernatural being, and in consequence they were possessed by the gods, and were powerful and effective. The secret of making these fetiches was confined to a small number of medicine-men who never divulged it to others, unless they themselves were to reap some benefit by the communication. The people believed that these objects had supernatural powers, they paid large sums of money for them, and treated them with the utmost respect and reverence."
t0315 cite0012 FK07 "[During the initiation of the prophet] the prophet was first marked out for his career by the choice of the lubale, manifested in his possession by the spirit, but he could not begin to prophesy till he had been ceremonially initiated by an older practitioner. The usual signs of possession by a lubale were different from those of possession by a muzimu . The person concerned “ went mad ”, wandered about in a distraught manner, and slept out of doors. It was also possible, especially in the case of a child, for an illness of any kind, which ordinary means failed to cure, to be interpreted as due to this cause. The theory seems to be that the lubale, having selected a person as its mouthpiece, becomes angry when he does not prophesy and tries to kill him, and that the illness is the result."
t0316 cite0013 FK07 "The Baganda do not, as a rule, believe that there is a western medicine for treating epilepsy, because it is a Kiganda illness. Out of 83 cases of epilepsy whom I saw in the rural area, only eight had tried to obtain some help from western medicine. Out of these only two had understood the necessity for continuing the medicine indefinitely, but had been unable to afford to fetch it each month. Two others had obtained treatment from private practitioners and one from a chemist, but these had not understood that they needed to return for more. One had been in Butabika Hospital because of associated violent madness and another had attended the local dispensary and been asked to attend Mulago Hospital but had never gone there. The remaining case had got as far as attending [Page 46] Mulago Hospital but says he was told there that the medicine for this illness “was not easily obtained” and so came away empty handed. Most cases in fact had never even thought of getting western medicine, while others were quite emphatic that, up to my coming, there had never been medicine available. I heard of a few instances in which there was a definite feeling against trying to get western medicine. It was difficult to trace such cases and the reasons for such an attitude can only be surmised. Shame and the possibility of ridicule at being turned away without treatment are more likely to be a reason than fear that such an action may anger any spirits causing the illness."
